Authors,Title,Year,Venue,Topic model,Supported task,Details of the supported task,Type of data,Document,Length of document,"Where ""length"" is mentioned",Parameter k,Parameter alpha,Parameter beta,Other parameters,Resolving negations,Correcting typos,Expanding contractions,Resolving synonyms,Splitting sentences or a document into n documents,Lemmatizing,Identifying n-grams,Lowercasing,Tokenizing,Splitting words,Stemming,Removing empty documents,Removing long paragraphs,Removing short documents,Removing extra white space,Removing non-informative content,"Removing words shorter than four, three or two letters",Removing least frequent terms,Removing most frequent terms,Removing code snippets,Removing HTML tags,Removing programming language keywords,Removing symbols and special characters,Removing punctuation,Removing stop words,Remove URL,Remove numbers,Topic naming approach,Topic naming procedure,Type of contribution,Other techniques combined
Asuncion; H U. Asuncion; A U. Taylor; R N,Software Traceability with Topic Modeling,2010,ICSE,LDA,Documentation,Documentation [artifacts labelling],Source code; Developer communication; Issue/bug report and End user documentation,Text with a software artifact (tutorials in PDF; presentations in PowerPoint; project specifications in Word; archived emails in an online mailing list; Wiki pages and bug reports in Trac; ArchStudio web pages; research publications in PDF; and developer notes in various file formats),,,{10; 20; 30},,,,,,,,1,,,,,,1,,,,,,,,,,,,,,1,,,,,Approach,
Jiang; H. Zhang; J. Ren; Z. Zhang; T,An Unsupervised Approach for Discovering Relevant Tutorial Fragments for APIs,2017,ICSE,LDA,Documentation,Documentation [extraction/augmenting],End user documentation,Text with a tutorial fragment,100 to 300 words,Mention on study design - dataset description,,0.1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Approach,
Panichella; A. Dit; B. Oliveto; R. Di Penta; M. Poshynanyk; D. De Lucia; A,How to Effectively Use Topic Models for Software Engineering Tasks? An Approach Based on Genetic Algorithms,2013,ICSE,LDA-GA,Documentation,Documentation [traceability to source code],Source code and Developer documentation,Text with a (a) use case; (b) classe; (c) method; (d) feature description,,,{10; 20; 30; 40; 50},{0-1 by 0.1},{0-1 by 0.1},i = 500,,,,,,,,,,,,,,,,,,,,,,,,,,,,Automated,Most frequent words in word clusters,Approach,
Galvis Carreno; L V.  Winbladh; K,Analysis of User Comments: An Approach for Software Requirements Evolution,2013,ICSE,ASUM,Requirements,Requirements evolution,End user communication,Text with a user review,,,(1) {33; 66; 150}; (2) {24; 48; 150},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Manual,Most frequent words in word clusters,Approach,
Chen; N. Lin; J. Hoi; S C H. Xiao; X. Zhang; B,AR-miner: Mining Informative Reviews for Developers from Mobile App Marketplace,2014,ICSE,LDA; ASUM,Bug handling,Localization [concerns],End user communication,Text with a user review,,,22,0.01,0.6,wG = {0.85; 0; 0.15}; wI = {0.2; 0.2; 0.2; 0.2; 0.2},,,,,,,,1,1,,1,1,,,1,,,1,,,,,1,,1,,,,,Approach; Comparison,
Henß; S. Monperrus; M. Mezini; M,Semi-automatically extracting FAQs to improve accessibility of software development knowledge,2012,ICSE,LDA (GS),Documentation,Documentation [extraction/augmenting],Developer communication,Text with a conversation thread,,,,50/k,0.01,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,Approach,
Chatterjee; P. Damevski; K. Pollock; L.  Augustine; V. Kraft; N A,Exploratory Study of Slack Q&A Chats as a Mining Source for Software Engineering Tools,2019,MSR,LDA,Exploratory study,Exploring information needs in developer communication,Developer communication,Text with a Q&A post; Text with a Slack conversation thread,,Mention on study design - evaluation of technique,20,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,1,,,,Exploration,
Bajaj; K. Pattabiraman; K. Mesbah; A,Mining Questions Asked by Web Developers,2014,MSR,LDA,Exploratory study,Exploring information needs in developer communication,Developer communication,Text with several Q&A posts,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,Manual,Authors' deduction based on word clusters,Exploration,
Layman; L. Nikora; A P.  Meek; J. Menzies; T,Topic Modeling of NASA Space System Problem Reports: Research in Practice,2016,MSR,LDA,Exploratory study,Exploring lessons learned in historical data,Issue/bug report,Text with a problem (bug) report,All missions had an average of 404 words per document,Mention on study design - dataset description,{20; 30; 40; ...; 100; 125; 150; ...; 225},50/k,0.01,,,,,,,,,1,,,1,,,,,,1,,,,,,,1,1,,1,Manual,Authors' deduction based on word clusters,Exploration,
Hu; W. Wong; K,Using citation influence to predict software defects,2013,MSR,CITM,Bug handling,Prediction [defects],Source code and Commit messages,(1) Text with several comments from source code of a certain release; (2) Text with several comments from commits of a certain release,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Approach,
Naguib; H. Narayan; N. Brugge; B. Helal; D,Bug report assignee recommendation using activity profiles,2013,MSR,LDA (GS); Support Vector Machines (SVM) [classification algorithm],Bug handling,Bug-fix assignment,Issue/bug report,Text with a bug report (title; description and system component information),,,10,50/k,0.01,,,,,,,1,,,1,,,,,,,,,,,,1,,,,1,,1,,,Approach; Comparison,
